Relatório de palavras-chave da rede de pesquisa
23 de Novembro de 2021 - 23 de Novembro de 2021
Status da palavra-chave,Palavra-chave,Tipo de corresp.,Campanha,Grupo de anúncios,Status,Motivos do status,Código da moeda,CPC máx.,URL final,URL final para dispositivos móveis,Impr.,Interações,Taxa de interação,Custo médio,Custo,Conversões,Custo / conv.,Taxa de conv.
Ativado,placa de carro,Correspondência ampla,Rede de pesquisa (Manual) com imagens e valores,Placas Mercosul,Limitado,baixa qualidade,BRL,"0,79",,,138,12,"8,70%","1,74","20,86","0,00","0,00","0,00%"
Ativado,placas de veiculos,Correspondência ampla,Rede de pesquisa (Manual) com imagens e valores,Placas Mercosul,Qualificado,,BRL,"0,10",,,0,0, --, --,"0,00","0,00","0,00","0,00%"
Ativado,emplacar moto,Correspondência ampla,Rede de pesquisa (Manual) com imagens e valores,Placas Mercosul,Qualificado,,BRL,"0,10",,,0,0, --, --,"0,00","0,00","0,00","0,00%"
Ativado,emplacar o carro,Correspondência ampla,Rede de pesquisa (Manual) com imagens e valores,Placas Mercosul,Qualificado,,BRL,"0,10",,,0,0, --, --,"0,00","0,00","0,00","0,00%"
Ativado,[placa de moto],Correspondência exata,Rede de pesquisa (Manual) com imagens e valores,Placas Mercosul,Qualificado,,BRL,"0,10",,,0,0, --, --,"0,00","0,00","0,00","0,00%"
Ativado,placa padrão mercosul,Correspondência ampla,Rede de pesquisa (Manual) com imagens e valores,Placas Mercosul,Qualificado,,BRL,"0,10",,,0,0, --, --,"0,00","0,00","0,00","0,00%"
Ativado,placa mercosul,Correspondência ampla,Rede de pesquisa (Manual) com imagens e valores,Placas Mercosul,Qualificado,,BRL,"0,78",,,8,0,"0,00%", --,"0,00","0,00","0,00","0,00%"
Ativado,[primeiro emplacamento],Correspondência exata,Rede de pesquisa (Manual) com imagens e valores,Placas Mercosul,Qualificado,,BRL,"0,10",,,0,0, --, --,"0,00","0,00","0,00","0,00%"
Ativado,placa de carreta,Correspondência ampla,Rede de pesquisa (Manual) com imagens e valores,Placas Mercosul,Qualificado,,BRL,"0,10",,,0,0, --, --,"0,00","0,00","0,00","0,00%"
Ativado,mercosul placas,Correspondência ampla,Rede de pesquisa (Manual) com imagens e valores,Placas Mercosul,Qualificado,,BRL,"0,10",,,0,0, --, --,"0,00","0,00","0,00","0,00%"
Ativado,placa do mercosul,Correspondência ampla,Rede de pesquisa (Manual) com imagens e valores,Placas Mercosul,Qualificado,,BRL,"0,10",,,0,0, --, --,"0,00","0,00","0,00","0,00%"
Ativado,placas para veiculos,Correspondência ampla,Rede de pesquisa (Manual) com imagens e valores,Placas Mercosul,Qualificado,,BRL,"0,74",,,8,0,"0,00%", --,"0,00","0,00","0,00","0,00%"
Ativado,placa mercosul preço,Correspondência ampla,Rede de pesquisa (Manual) com imagens e valores,Placas Mercosul,Qualificado,,BRL,"0,37",,,1,0,"0,00%", --,"0,00","0,00","0,00","0,00%"
Ativado,placa novo padrão,Correspondência ampla,Rede de pesquisa (Manual) com imagens e valores,Placas Mercosul,Qualificado,,BRL,"0,87",,,47,5,"10,64%","1,67","8,34","0,00","0,00","0,00%"
Ativado,mudança placa mercosul,Correspondência ampla,Rede de pesquisa (Manual) com imagens e valores,Placas Mercosul,Qualificado,,BRL,"0,10",,,0,0, --, --,"0,00","0,00","0,00","0,00%"
Ativado,placas mercosul valor,Correspondência ampla,Rede de pesquisa (Manual) com imagens e valores,Placas Mercosul,Qualificado,,BRL,"0,10",,,0,0, --, --,"0,00","0,00","0,00","0,00%"
Ativado,placa mercosul sp onde comprar,Correspondência ampla,Rede de pesquisa (Manual) com imagens e valores,Placas Mercosul,Qualificado,,BRL,"0,10",,,0,0, --, --,"0,00","0,00","0,00","0,00%"
Ativado,placa de veículo mercosul,Correspondência ampla,Rede de pesquisa (Manual) com imagens e valores,Placas Mercosul,Qualificado,,BRL,"0,68",,,0,0, --, --,"0,00","0,00","0,00","0,00%"
Ativado,placa mercosul zona sul,Correspondência ampla,Rede de pesquisa (Manual) com imagens e valores,Placas Mercosul,Qualificado,,BRL,"0,10",,,0,0, --, --,"0,00","0,00","0,00","0,00%"
Ativado,placa mercosul com nome,Correspondência ampla,Rede de pesquisa (Manual) com imagens e valores,Placas Mercosul,Qualificado,,BRL,"0,10",,,0,0, --, --,"0,00","0,00","0,00","0,00%"
Ativado,"""preço das novas placas mercosul""",Correspondência de frase,Rede de pesquisa (Manual) com imagens e valores,Placas Mercosul,Não qualificado,raramente exibido,BRL,"0,10",,,0,0, --, --,"0,00","0,00","0,00","0,00%"
Ativado,placa mercosul santo amaro,Correspondência ampla,Rede de pesquisa (Manual) com imagens e valores,Placas Mercosul,Qualificado,,BRL,"0,10",,,0,0, --, --,"0,00","0,00","0,00","0,00%"
Ativado,valor placa mercosul sp 2021,Correspondência ampla,Rede de pesquisa (Manual) com imagens e valores,Placas Mercosul,Qualificado,,BRL,"0,10",,,0,0, --, --,"0,00","0,00","0,00","0,00%"
Ativado,[emplacar meu veiculo],Correspondência exata,Rede de pesquisa (Manual) com imagens e valores,Placas Mercosul,Não qualificado,raramente exibido,BRL,"0,10",,,0,0, --, --,"0,00","0,00","0,00","0,00%"
Ativado,placas mercosul na zona sul,Correspondência ampla,Rede de pesquisa (Manual) com imagens e valores,Placas Mercosul,Não qualificado,raramente exibido,BRL,"0,10",,,0,0, --, --,"0,00","0,00","0,00","0,00%"
