IDBASE_TRECHO;IDBASE_COLETA_LIXO;LRSREF_INICIO;LRSREF_FINAL;LRSREF_LADO;FCL;DATCONCE
6692;23525;0;15.387;A;1;
5687;23529;0;91.183;A;1;
5691;23533;0;107.443;A;1;
5696;23537;0;125.918;A;2;
5701;23541;0;75.024;A;1;
5707;23550;0;59.717;A;1;
5708;23552;0;70.433;A;1;
6031;23556;0;51.429;A;1;
6037;23565;0;53.882;A;1;
5748;23739;0;113.491;A;1;
5753;23745;0;39.5;A;1;
5757;23750;0;82.644;A;1;
6089;23755;0;108.195;A;1;
6094;23760;0;40.963;A;1;
6098;23764;0;71.846;A;1;
6103;23769;0;81.087;A;1;
6106;23773;0;95.938;A;1;
6110;23780;0;163.65;A;1;
6415;23784;0;83.524;A;2;
6419;23788;0;73.533;A;2;
6423;23792;0;174.257;A;1;
6427;23796;0;68.839;A;1;
6431;23800;0;30.413;A;1;
6748;23803;0;72.897;A;1;
6752;23807;0;71.464;A;1;
6756;23811;0;76.189;A;1;
6760;23815;0;75.842;A;1;
6763;23818;0;144.765;A;1;
6767;23822;0;73.137;A;2;
6771;23826;0;75.253;A;1;
6775;23830;0;71.825;A;1;
5763;23834;0;131.468;A;1;
5767;23838;0;155.97;A;1;
5773;23845;0;212.191;A;1;
5778;23850;0;208.073;A;1;
16788;32905;0;88.412;A;1;
15823;32910;0;114.606;A;1;
15826;32913;0;109.375;A;1;
15830;32917;0;109.839;A;1;
15834;32921;0;109.871;A;1;
15837;32924;0;111.222;A;1;
15842;32928;0;99.795;A;1;
15847;32933;0;116.856;A;1;
15850;32936;0;117.111;A;1;
16187;32940;0;5.617;A;1;
16190;32943;0;56.774;A;1;
16828;33088;0;111.238;A;1;
16832;33092;0;117.886;A;1;
16838;33095;0;110.573;A;1;
16842;33099;0;109.408;A;1;
15883;33103;0;50.204;A;1;
15886;33106;0;72.333;A;1;
15890;33110;0;68.298;A;1;
15893;33113;0;38.787;A;1;
15902;33125;0;113.182;A;1;
16237;33129;0;87.152;A;1;
16240;33132;0;80.298;A;1;
16249;33136;0;58.238;A;1;
16252;33139;0;72.297;A;1;
16548;33143;0;41.833;A;0;
16561;33146;0;149.664;A;1;
16565;33150;0;79.334;A;1;
16568;33153;0;76.281;A;1;
16572;33157;0;72.49;A;1;
16846;33160;0;75.29;A;1;
16849;33163;0;17.255;A;1;
68646;79799;0;26.66;A;0;20170830
68647;79800;0;29.717;A;0;20180619
68648;79801;0;9.728;A;0;20170830
68649;79802;0;7.077;A;0;20170830
68650;79803;0;29.336;A;1;20180629
69325;80578;0;40.911;A;0;20180109
69584;80897;0;14.144;A;2;20180314
69924;81277;0;28.037;A;0;20180521
71207;82918;0;142.221;A;0;20181221
71208;82919;0;121.161;A;0;20181221
71209;82920;0;87.787;A;0;20181221
71210;82921;0;80.721;A;0;20181221
71211;82922;0;22.913;A;0;20181221
71212;82923;0;79.889;A;0;20181221
71213;82924;0;34.479;A;0;20181221
71214;82925;0;90.702;A;0;20181221
71215;82926;0;29.096;A;0;20181221
71216;82927;0;57.082;A;0;20181221
71217;82928;0;20.558;A;0;20181221
71218;82929;0;72.031;A;0;20181221
71219;82930;0;48.014;A;0;20181221
71220;82931;0;32.469;A;0;20181221
71221;82932;0;21.345;A;0;20181221
71222;82933;0;48.47;A;0;20181221
71223;82934;0;45.838;A;0;20181221
71248;82960;0;55.139;A;0;20181226
71405;83137;0;79.297;A;0;20190129
71524;83257;0;66.098;A;0;20190212
72925;84698;0;15.189;A;;20190920
73145;84938;0;46.22;A;;20191024
73146;84939;0;6.059;A;;20191024
6181;24058;0;135.13;A;1;
6185;24063;0;129.679;A;1;
6189;24067;0;67.761;A;1;
6193;24071;0;68.986;A;1;
6500;24075;0;68.858;A;1;
6504;24079;0;61.643;A;1;
6507;24082;0;79.98;A;1;
6511;24086;0;100.807;A;1;
6515;24090;0;76.51;A;1;
6519;24095;0;76.534;A;1;
6524;24099;0;50.463;A;1;
6831;24105;0;146.001;A;1;
6837;24110;0;83.012;A;1;
6841;24116;0;31.047;A;1;
6848;24123;0;18.395;A;1;
6852;24127;0;21.689;A;1;
6853;24128;0;24.174;A;1;
6857;24132;0;51.671;A;1;
5841;24136;0;91.1;A;1;
5845;24139;0;94.683;A;1;
5850;24143;0;134.21;A;1;
5854;24147;0;98.008;A;1;
5858;24152;0;177.943;A;1;
5862;24156;0;102.108;A;1;
6574;24290;0;89.386;A;1;
6578;24295;0;68.026;A;1;
6887;24299;0;76.08;A;1;
6890;24302;0;106.454;A;1;
6899;24306;0;97.419;A;1;
5893;24310;0;99.89;A;1;
5904;24315;0;151.845;A;1;
5913;24319;0;72.811;A;1;
5917;24323;0;68.977;A;1;
6253;24326;0;78.939;A;1;
6259;24330;0;187.144;A;1;
6263;24334;0;35.915;A;1;
6267;24339;0;219.952;A;1;20180808
6587;24347;0;71.164;A;1;
6592;24350;0;153.281;A;0;
6596;24354;0;16.523;A;1;
6600;24358;0;23.944;A;1;
6605;24362;0;51.348;A;1;
6911;24366;0;16.93;A;1;
6914;24369;0;21.342;A;1;
6918;24373;0;30.615;A;1;
6924;24377;0;169.742;A;1;
6928;24381;0;104.111;A;1;
6937;24385;0;205.573;A;1;
5920;24389;0;73.101;A;1;
5924;24393;0;14.52;A;1;
5927;24396;0;14.885;A;1;
5931;24400;0;32.9;A;1;
5934;24403;0;68.596;A;1;
5938;24407;0;256.768;A;1;
5943;24412;0;160.232;A;1;
11100;24415;0;205.298;A;1;
12209;24694;0;253.737;A;1;
12214;24699;0;111.462;A;1;
12219;24704;0;118.079;A;1;
12222;24707;0;168.355;A;1;
12227;24714;0;180.448;A;1;
12231;24718;0;103.205;A;1;
12234;24721;0;110.099;A;1;
12238;24725;0;122.958;A;1;
12242;24731;0;87.706;A;1;
12245;24734;0;170.236;A;1;
50978;24737;0;86.036;A;1;
12251;24742;0;97.618;A;1;
12255;24746;0;237.739;A;1;
12259;24750;0;98.732;A;1;
12262;24754;0;74.55;A;1;
12265;24757;0;65.768;A;1;
12269;24761;0;212.18;A;1;
12272;24765;0;146.33;A;1;
12303;24769;0;115.693;A;1;
12307;24773;0;197.397;A;1;
12310;24776;0;214.295;A;1;
12314;24780;0;229.537;A;1;
12321;24784;0;141.481;A;1;
12324;24787;0;57.211;A;1;
12356;24791;0;132.233;A;1;
12360;24795;0;255.549;A;1;
12363;24798;0;106.869;A;1;
12367;24802;0;79.844;A;1;
12370;24805;0;167.331;A;1;
12374;24810;0;200.685;A;1;
12378;24815;0;85.33;A;1;
12275;24818;0;204.712;A;1;20201110
11456;24966;0;104.495;A;1;
11460;24970;0;30.784;A;1;
11464;24973;0;21.999;A;1;
11468;24977;0;83.885;A;1;
11471;24980;0;82.809;A;1;
11759;24984;0;289.016;A;1;
11765;24987;0;279.226;A;1;
11769;24991;0;99.793;A;1;
11773;24996;0;107.663;A;1;
11776;25000;0;120.761;A;2;
10834;25004;0;84.394;A;1;
10852;25010;0;145.676;A;1;
68324;79457;0;9.843;A;1;20180809
68325;79458;0;15.143;A;1;20180809
68326;79459;0;20.426;A;1;20180809
68327;79460;0;15.441;A;1;20180809
68328;79461;0;16.17;A;1;20180809
68329;79462;0;35.277;A;1;20180809
5783;23855;0;98.696;A;1;
6118;23858;0;202.202;A;0;
6125;23863;0;151.311;A;1;
6129;23867;0;76.604;A;1;
6170;24047;0;186.53;A;1;
6173;24050;0;153.224;A;1;
6177;24054;0;190.432;A;1;
69125;80378;0;24.165;A;0;20180711
69126;80379;0;43.946;A;0;20171207
69305;80558;0;19.512;A;0;20180104
69306;80559;0;19.299;A;0;20180104
70156;81589;0;46.551;A;0;20180705
69488;80777;0;37.593;A;0;20180223
69489;80778;0;108.65;A;0;20180223
70326;81799;0;20.416;A;1;20180816
70327;81800;0;16.681;A;1;20180816
70624;82157;0;68.691;A;1;20180926
71224;82935;0;34.451;A;0;20181221
71225;82936;0;59.323;A;0;20181221
71244;82937;0;45.549;A;0;20181221
72104;83837;0;46.45;A;0;20190429
74107;85897;0;8.474;A;;20200120
17103;32428;0;97.422;A;1;
74109;85899;0;86.953;A;;20200120
74110;85900;0;57.973;A;;20200120
17107;32432;0;104.249;A;1;
17113;32438;0;158.242;A;1;
17116;32441;0;283.752;A;1;
17187;32512;0;85.471;A;1;
17191;32517;0;94.245;A;1;
17194;32520;0;156.999;A;1;
17198;32525;0;176.598;A;0;
17203;32529;0;252.708;A;1;
17206;32532;0;207.662;A;1;
17210;32536;0;110.748;A;1;
17214;32540;0;125.102;A;1;
17217;32543;0;104.552;A;1;
17221;32547;0;128.381;A;1;
17225;32551;0;118.543;A;1;
17228;32554;0;123.614;A;1;
17232;32558;0;140.496;A;1;
17236;32562;0;148.576;A;1;
17239;32565;0;113.017;A;1;
17243;32569;0;135.676;A;1;
17247;32573;0;213.34;A;1;
17250;32576;0;111.97;A;1;
17254;32580;0;113.055;A;1;
17257;32583;0;132.197;A;1;
17261;32587;0;110.763;A;1;
17265;32591;0;195.336;A;1;
17268;32594;0;116.418;A;1;
17272;32598;0;109.841;A;1;
17278;32602;0;112.628;A;1;
17281;32605;0;107.584;A;1;
17285;32609;0;112.027;A;1;
17289;32613;0;110.792;A;1;
17292;32616;0;110.22;A;1;
17296;32620;0;109.8;A;1;
17299;32623;0;99.674;A;1;
17303;32627;0;110.731;A;1;
17307;32631;0;81.994;A;1;
17310;32634;0;116.345;A;1;
17314;32638;0;157.665;A;0;
17317;32642;0;157.028;A;1;
17321;32646;0;86.384;A;1;
17325;32650;0;129.545;A;1;
17326;32651;0;130.826;A;1;
17331;32656;0;113.62;A;1;
17335;32661;0;162.835;A;1;
17338;32665;0;96.206;A;1;
17342;32669;0;148.651;A;1;
17345;32672;0;95.08;A;1;
17350;32676;0;125.579;A;1;
17356;32679;0;188.103;A;1;
17362;32683;0;240.415;A;1;
17366;32687;0;157.241;A;1;
17369;32690;0;95.945;A;1;
17373;32694;0;123.567;A;1;
17377;32699;0;89.72;A;1;
17380;32702;0;90.392;A;0;
17383;32706;0;177.767;A;1;
17387;32710;0;83.153;A;1;
17391;32714;0;130.985;A;1;
16167;32850;0;141.618;A;1;
16170;32853;0;112.11;A;1;
16175;32859;0;72.092;A;1;
16470;32865;0;279.471;A;1;
16474;32869;0;66.442;A;1;
16478;32873;0;72.897;A;1;
16481;32876;0;55.02;A;1;
16485;32879;0;47.774;A;1;
16489;32883;0;337.053;A;1;
16772;32887;0;343.095;A;1;
16775;32890;0;339.153;A;1;
16780;32895;0;260.874;A;1;
16784;32900;0;261.466;A;1;
17089;32413;0;125.163;A;1;
17093;32418;0;154.458;A;1;
17096;32421;0;130.664;A;1;
17100;32425;0;109.638;A;1;
68125;79238;0;66.101;A;0;20170613
68126;79239;0;35.189;A;0;20170613
68127;79240;0;26.167;A;0;20170613
68128;79241;0;32.741;A;0;20170613
68129;79242;0;99.359;A;0;20170613
68130;79243;0;139.905;A;0;20170613
68131;79244;0;32.057;A;0;20170613
68132;79245;0;22.232;A;0;20170613
68133;79246;0;88.483;A;0;20170613
68134;79247;0;116.389;A;0;20170613
68135;79248;0;35.407;A;0;20170613
68136;79249;0;77.714;A;0;20170613
68137;79250;0;99.285;A;0;20170613
68138;79251;0;55.403;A;0;20170613
68142;79255;0;8.821;A;0;20170613
68143;79256;0;53.743;A;0;20170613
68144;79257;0;16.306;A;0;20170613
68145;79258;0;23.103;A;0;20170613
68146;79259;0;25.306;A;0;20170613
68147;79260;0;17.857;A;0;20170613
68148;79261;0;25.893;A;0;20170613
68149;79262;0;24.813;A;0;20170613
68154;79267;0;86.243;A;0;20170613
68155;79268;0;43.221;A;0;20170613
68156;79269;0;37.715;A;0;20170613
68157;79270;0;36.677;A;0;20170613
68158;79271;0;76.552;A;0;20170613
68159;79272;0;37.727;A;1;20170613
68160;79273;0;44.745;A;0;20170613
68161;79274;0;45.243;A;0;20170613
68162;79275;0;12.658;A;1;20170613
68163;79276;0;17.961;A;1;20170613
68164;79277;0;10.871;A;0;20170613
68165;79278;0;21.547;A;0;20170613
68166;79279;0;50.042;A;0;20170613
68167;79280;0;125.154;A;0;20170613
68168;79281;0;57.468;A;0;20170613
68169;79282;0;21.564;A;0;20170613
68170;79283;0;25.788;A;0;20170613
68171;79284;0;27.704;A;1;20170613
68172;79285;0;43.623;A;1;20170613
68173;79286;0;72.451;A;0;20170613
68174;79287;0;41.257;A;0;20170613
70610;82143;0;645.998;A;0;20180921
72351;84083;0;24.778;A;1;20190612
69344;80597;0;20.151;A;0;20180115
69944;81317;0;60.413;A;0;20180604
69945;81318;0;25.153;A;0;20180604
69946;81319;0;35.771;A;0;20180604
69948;81321;0;62.125;A;0;20180604
69949;81322;0;56.259;A;0;20180604
69950;81323;0;56.982;A;0;20180604
69951;81324;0;27.651;A;0;20180604
69952;81325;0;49.79;A;0;20180604
69953;81326;0;75.361;A;0;20180604
70132;81559;0;54.841;A;0;20180703
70133;81560;0;21.275;A;1;20180703
70611;82144;0;1.710.747;A;0;20180921
7186;23193;0;70.336;A;1;
71279;82992;0;27.837;A;0;20190103
71293;83006;0;110.544;A;0;20190104
71294;83007;0;101.345;A;1;20190104
71504;83237;0;26.13;A;0;20190211
72764;84517;0;8.82;A;;20190829
72765;84518;0;32.379;A;;20190829
73953;85706;0;14.146;A;;20191216
7190;23197;0;59.325;A;1;
7193;23200;0;73.776;A;1;
7197;23204;0;130.205;A;1;
7201;23208;0;176.329;A;1;
7210;23213;0;61.589;A;1;
7214;23217;0;69.63;A;1;
7218;23221;0;57.696;A;1;
7221;23224;0;82.708;A;1;
7225;23228;0;119.044;A;1;
7229;23232;0;134.426;A;1;
7238;23237;0;72.218;A;1;
7243;23242;0;70.579;A;1;
7248;23246;0;60.589;A;1;
7252;23250;0;66.518;A;1;
7258;23255;0;27.422;A;1;
7262;23259;0;23.404;A;1;
7265;23262;0;60.576;A;1;
7268;23265;0;60.248;A;1;
7269;23266;0;70.23;A;1;
7273;23270;0;40.896;A;1;
6006;23452;0;79.351;A;1;
