lixo 1,lixo 2,lixo 3,lixo 4,Lixo5
0,16,23,0,19/11/2021
1,22,28,-1,18/11/2021
1,18,21,0,17/11/2021
0,26,18,0,15/11/2021
0,26,39,-1,14/11/2021
0,22,30,0,13/11/2021
0,24,23,-1,12/11/2021
0,23,22,-1,11/11/2021
0,20,28,-1,11/11/2021
0,24,25,0,09/11/2021
0,25,21,2,08/11/2021
0,23,31,0,07/11/2021
0,28,37,0,06/11/2021
0,25,30,0,05/11/2021
0,16,34,-1,04/11/2021
0,21,38,1,03/11/2021
0,23,27,-1,02/11/2021
1,30,35,-1,01/11/2021
0,25,31,2,31/10/2021
0,12,34,1,30/10/2021
0,22,36,-1,29/10/2021
0,25,39,2,28/10/2021
0,21,38,-1,27/10/2021
0,21,40,0,26/10/2021
0,30,41,0,25/10/2021
1,21,30,0,24/10/2021
0,25,45,0,23/10/2021
1,32,33,-1,22/10/2021
1,25,41,0,21/10/2021
0,21,42,-1,20/10/2021
0,32,63,0,19/10/2021
1,39,36,1,18/10/2021
1,35,39,-2,17/10/2021
1,39,43,0,16/10/2021
0,30,48,-1,15/10/2021
0,32,53,0,14/10/2021
0,38,38,0,13/10/2021
0,37,41,0,12/10/2021
1,42,44,-3,11/10/2021
0,31,35,0,10/10/2021
1,32,49,2,09/10/2021
1,35,39,-1,08/10/2021
0,46,41,-1,07/10/2021
0,31,59,4,06/10/2021
0,49,46,1,05/10/2021
0,52,39,-3,04/10/2021
1,72,51,1,03/10/2021
1,41,42,-2,02/10/2021
1,35,56,0,01/10/2021
1,50,46,2,30/09/2021
0,33,40,-1,29/09/2021
1,39,35,0,28/09/2021
1,49,42,-3,27/09/2021
1,37,44,-1,26/09/2021
1,41,55,1,25/09/2021
1,48,59,1,24/09/2021
1,42,65,-3,23/09/2021
1,38,58,-2,22/09/2021
1,45,91,0,21/09/2021
1,53,102,0,20/09/2021
1,56,84,-1,19/09/2021
1,43,112,-3,18/09/2021
1,63,92,-3,17/09/2021
1,59,97,2,16/09/2021
1,59,127,-7,15/09/2021
2,59,134,-4,14/09/2021
1,58,117,-4,13/09/2021
1,50,144,-1,12/09/2021
1,41,146,-1,11/09/2021
1,62,154,-2,10/09/2021
1,69,180,2,09/09/2021
1,66,188,-5,08/09/2021
1,83,196,-3,07/09/2021
1,71,179,-4,06/09/2021
1,72,188,-9,05/09/2021
1,103,187,-5,04/09/2021
1,95,113,-11,03/09/2021
1,111,150,-9,02/09/2021
1,101,252,-6,01/09/2021
1,184,297,1,31/08/2021
1,124,213,2,31/08/2021
1,189,341,0,29/08/2021
1,186,365,-10,28/08/2021
1,168,432,-10,27/08/2021
2,212,488,-3,26/08/2021
3,197,512,0,25/08/2021
2,166,583,-20,24/08/2021
3,189,520,-21,23/08/2021
1,167,571,-5,22/08/2021
2,200,598,-15,21/08/2021
2,226,610,-9,20/08/2021
2,276,503,0,19/08/2021
2,237,642,-5,18/08/2021
2,256,526,-11,17/08/2021
4,343,620,-7,16/08/2021
3,306,606,-8,15/08/2021
3,375,691,-1,14/08/2021
3,417,602,-9,13/08/2021
2,555,644,-3,12/08/2021
3,424,747,-4,11/08/2021
3,595,773,-6,10/08/2021
3,519,834,-7,09/08/2021
3,555,751,-1,08/08/2021
5,501,840,-12,07/08/2021
5,596,961,-15,06/08/2021
5,718,918,4,05/08/2021
6,851,1048,-18,04/08/2021
6,785,1142,-3,03/08/2021
11,805,1289,-3,02/08/2021
8,707,1339,-15,01/08/2021
6,733,1236,-1,31/07/2021
5,766,1251,-3,30/07/2021
6,853,1400,0,29/07/2021
5,941,1365,9,28/07/2021
5,933,1376,-16,27/07/2021
9,988,1336,7,26/07/2021
5,836,1112,-8,25/07/2021
6,987,1479,-4,24/07/2021
9,926,1149,6,23/07/2021
9,987,1233,-10,22/07/2021
8,969,1388,3,21/07/2021
9,1043,1317,1,20/07/2021
17,1107,1485,-6,19/07/2021
10,1189,1428,-2,18/07/2021
18,1226,1515,-3,17/07/2021
19,1263,1599,-8,16/07/2021
16,1385,1647,5,15/07/2021
11,1193,1721,3,14/07/2021
