img_id,img_width,img_height,img_file,cat_id,cat_name,supercategory,ann_id,x,y,width,height,area
0,1537,2049,batch_1/000006.jpg,6,Glass bottle,Bottle,1,517.0,127.0,447.0,1322.0,403954.0
1,1537,2049,batch_1/000008.jpg,18,Meal carton,Carton,2,1.0,457.0,1429.0,1519.0,1071259.5
1,1537,2049,batch_1/000008.jpg,14,Other carton,Carton,3,531.0,292.0,1006.0,672.0,99583.5
2,1537,2049,batch_1/000010.jpg,5,Clear plastic bottle,Bottle,4,632.0,987.0,500.0,374.0,73832.5
2,1537,2049,batch_1/000010.jpg,7,Plastic bottle cap,Bottle cap,5,632.0,989.0,44.0,51.0,915.0
3,2049,1537,batch_1/000019.jpg,5,Clear plastic bottle,Bottle,6,209.0,920.0,454.0,562.0,98379.5
3,2049,1537,batch_1/000019.jpg,5,Clear plastic bottle,Bottle,7,1212.0,822.0,179.0,446.0,43678.0
3,2049,1537,batch_1/000019.jpg,7,Plastic bottle cap,Bottle cap,8,634.0,1442.0,29.0,39.0,578.5
3,2049,1537,batch_1/000019.jpg,12,Drink can,Can,9,589.0,548.0,341.0,405.0,61402.0
4,1537,2049,batch_1/000026.jpg,12,Drink can,Can,10,556.0,944.0,490.0,336.0,93266.0
5,2049,1537,batch_1/000047.jpg,10,Food Can,Can,11,1205.0,47.0,623.0,721.0,336008.5
5,2049,1537,batch_1/000047.jpg,10,Food Can,Can,12,309.0,11.0,581.0,820.0,372822.5
5,2049,1537,batch_1/000047.jpg,4,Other plastic bottle,Bottle,13,189.0,751.0,1617.0,589.0,736529.0
5,2049,1537,batch_1/000047.jpg,7,Plastic bottle cap,Bottle cap,14,189.0,903.0,205.0,226.0,28618.5
5,2049,1537,batch_1/000047.jpg,50,Pop tab,Pop tab,15,569.0,137.0,227.0,108.0,17312.0
5,2049,1537,batch_1/000047.jpg,50,Pop tab,Pop tab,16,1540.0,171.0,246.0,111.0,16943.5
6,1537,2049,batch_1/000055.jpg,11,Aerosol,Can,17,515.0,439.0,357.0,1125.0,238627.5
7,2049,1537,batch_1/000001.jpg,5,Clear plastic bottle,Bottle,18,826.0,744.0,464.0,205.0,68667.0
7,2049,1537,batch_1/000001.jpg,7,Plastic bottle cap,Bottle cap,19,1254.0,777.0,36.0,47.0,606.0
8,1537,2049,batch_1/000005.jpg,5,Clear plastic bottle,Bottle,20,824.0,557.0,89.0,236.0,17734.0
9,1537,2049,batch_1/000007.jpg,10,Food Can,Can,21,730.0,126.0,275.0,609.0,133884.5
9,1537,2049,batch_1/000007.jpg,23,Glass cup,Cup,22,804.0,0.0,222.0,160.0,28291.0
